candidate_r2,candidate_rmse,held_out_ticker,model,n_remaining,prior_r2,prior_rmse,r2_gain,rmse_gain
0.9135530735468699,0.0007603269092646632,AAPL,residual_structured_only,132,0.199019926661277,0.002314389437936843,0.7145331468855929,0.00155406252867218
0.9153871213745868,0.0007556429435070952,AMGN,residual_structured_only,131,0.19697591565958106,0.0023278912144416653,0.7184112057150057,0.00157224827093457
0.9148965958957928,0.0007561122818186481,AMZN,residual_structured_only,131,0.20056115284908738,0.00231742373435646,0.7143354430467054,0.001561311452537812
0.9134547031216214,0.0007624283036055999,AXP,residual_structured_only,130,0.1924916969180418,0.002328899633356464,0.7209630062035796,0.001566471329750864
0.9122126156907343,0.0007666411386613131,CAT,residual_structured_only,131,0.18865410414914852,0.0023306608844955753,0.7235585115415858,0.0015640197458342622
0.9385728711763216,0.0006081238903982738,CSCO,residual_structured_only,128,0.1847185859625462,0.0022154692570382534,0.7538542852137754,0.0016073453666399797
0.9212461181152599,0.0007170429738394265,DIS,residual_structured_only,129,0.20957385960336528,0.0022716417760461453,0.7116722585118946,0.001554598802206719
0.9119470164355996,0.000770797319962105,HON,residual_structured_only,130,0.1890612286375708,0.0023391721804696263,0.7228857877980288,0.0015683748605075211
0.9109494862605844,0.0007675167202385048,IBM,residual_structured_only,130,0.19874183207878526,0.00230226793830937,0.7122076541817991,0.0015347512180708652
0.9122243665323087,0.00076458789782084,JNJ,residual_structured_only,132,0.19071898575124324,0.002321614509527982,0.7215053807810654,0.001557026611707142
0.9120932130737541,0.0007678028385814288,JPM,residual_structured_only,131,0.19501185695155776,0.0023234495767621125,0.7170813561221964,0.0015556467381806836
0.9127228829389925,0.0007613492433471447,KO,residual_structured_only,133,0.19422917912441118,0.002313340134449224,0.7184937038145813,0.0015519908911020793
0.9128156291653613,0.0007621711228018074,MCD,residual_structured_only,132,0.19091653935126363,0.002321826870335122,0.7218990898140977,0.0015596557475333146
0.9138275828131649,0.0007607994851500125,MMM,residual_structured_only,131,0.19118360806025636,0.0023308323898813777,0.7226439747529085,0.0015700329047313652
0.9123048556864363,0.0007655484947174926,MRK,residual_structured_only,132,0.19318925998138836,0.0023220457316081456,0.7191155957050479,0.001556497236890653
0.9130755875458308,0.0007673357427109564,MSFT,residual_structured_only,130,0.1916704150995565,0.002339961885452781,0.7214051724462743,0.0015726261427418248
0.918637212443643,0.000744662394828078,NKE,residual_structured_only,128,0.20009680527162288,0.002334883567111575,0.7185404071720202,0.001590221172283497
0.7912832147172171,0.0006962670722926186,NVDA,residual_structured_only,129,0.3268104510733052,0.0012504486186458107,0.4644727636439119,0.0005541815463531921
0.9119601157679829,0.0007707991308131676,UNH,residual_structured_only,130,0.18869602436208543,0.0023398783923071187,0.7232640914058974,0.0015690792614939512
0.9125885531732094,0.0007613021059240797,VZ,residual_structured_only,133,0.19293311505837063,0.0023132770049926967,0.7196554381148388,0.001551974899068617
0.912823023335577,0.0007782001485700621,WMT,residual_structured_only,127,0.20041266993535245,0.002356803419362937,0.7124103534002245,0.0015786032707928747
0.9068653139442735,0.0007891895214060549,AAPL,residual_structured_plus_extra_plus_qna_lsa,132,0.199019926661277,0.002314389437936843,0.7078453872829965,0.0015251999165307882
0.9077703916754326,0.0007889211116402422,AMGN,residual_structured_plus_extra_plus_qna_lsa,131,0.19697591565958106,0.0023278912144416653,0.7107944760158516,0.001538970102801423
0.9104797278164517,0.00077548521732361,AMZN,residual_structured_plus_extra_plus_qna_lsa,131,0.20056115284908738,0.00231742373435646,0.7099185749673643,0.0015419385170328502
0.908395766494381,0.0007843954156169783,AXP,residual_structured_plus_extra_plus_qna_lsa,130,0.1924916969180418,0.002328899633356464,0.7159040695763392,0.0015445042177394854
0.9068238731135708,0.0007898204832728139,CAT,residual_structured_plus_extra_plus_qna_lsa,131,0.18865410414914852,0.0023306608844955753,0.7181697689644223,0.0015408404012227615
0.9462866221331331,0.0005686606659971414,CSCO,residual_structured_plus_extra_plus_qna_lsa,128,0.1847185859625462,0.0022154692570382534,0.7615680361705869,0.001646808591041112
0.9109258141668173,0.0007625795072860091,DIS,residual_structured_plus_extra_plus_qna_lsa,129,0.20957385960336528,0.0022716417760461453,0.701351954563452,0.0015090622687601364
0.9062236431900165,0.0007954535715951357,HON,residual_structured_plus_extra_plus_qna_lsa,130,0.1890612286375708,0.0023391721804696263,0.7171624145524457,0.0015437186088744907
0.9053714363942831,0.00079118993639597,IBM,residual_structured_plus_extra_plus_qna_lsa,130,0.19874183207878526,0.00230226793830937,0.7066296043154978,0.0015110780019134001
0.9069178403526813,0.000787360564161505,JNJ,residual_structured_plus_extra_plus_qna_lsa,132,0.19071898575124324,0.002321614509527982,0.7161988546014381,0.001534253945366477
0.9068091143190695,0.0007905425126752922,JPM,residual_structured_plus_extra_plus_qna_lsa,131,0.19501185695155776,0.0023234495767621125,0.7117972573675118,0.0015329070640868203
0.9067185141189121,0.0007871027903889809,KO,residual_structured_plus_extra_plus_qna_lsa,133,0.19422917912441118,0.002313340134449224,0.712489334994501,0.0015262373440602431
0.907906433652713,0.0007833355147868475,MCD,residual_structured_plus_extra_plus_qna_lsa,132,0.19091653935126363,0.002321826870335122,0.7169898943014493,0.0015384913555482745
0.9070902782440086,0.0007899810108971235,MMM,residual_structured_plus_extra_plus_qna_lsa,131,0.19118360806025636,0.0023308323898813777,0.7159066701837522,0.0015408513789842543
0.9070145754377326,0.0007883015354953173,MRK,residual_structured_plus_extra_plus_qna_lsa,132,0.19318925998138836,0.0023220457316081456,0.7138253154563442,0.0015337441961128283
0.9066200979396042,0.0007953188087626166,MSFT,residual_structured_plus_extra_plus_qna_lsa,130,0.1916704150995565,0.002339961885452781,0.7149496828400477,0.0015446430766901647
0.907419439218274,0.0007943399706391456,NKE,residual_structured_plus_extra_plus_qna_lsa,128,0.20009680527162288,0.002334883567111575,0.7073226339466511,0.0015405435964724293
0.7823978117241137,0.000710933203146777,NVDA,residual_structured_plus_extra_plus_qna_lsa,129,0.3268104510733052,0.0012504486186458107,0.4555873606508085,0.0005395154154990337
0.9063920730700217,0.0007947998903372588,UNH,residual_structured_plus_extra_plus_qna_lsa,130,0.18869602436208543,0.0023398783923071187,0.7176960487079362,0.0015450785019698599
0.9068249338045906,0.0007860003361578592,VZ,residual_structured_plus_extra_plus_qna_lsa,133,0.19293311505837063,0.0023132770049926967,0.71389181874622,0.0015272766688348375
0.9070634097430622,0.0008034961034405715,WMT,residual_structured_plus_extra_plus_qna_lsa,127,0.20041266993535245,0.002356803419362937,0.7066507398077098,0.0015533073159223654
